Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Belarus,Europe,994037,10520,,,,7118,75,,,
China,Western Pacific,99373219,6754,2087,,2087,122304,8,15,,15
French Guiana,,98041,32825,,,,413,138,,,
Latvia,Europe,977765,51254,,,,7475,392,,,
Saint Vincent and the Grenadines,Americas,9674,8720,,,,124,112,,,
Guinea-Bissau,Africa,9614,489,,,,177,9,,,
Niger,Africa,9518,39,,,,315,1,,,
Comoros,Africa,9109,1047,,,,160,18,,,
Antigua and Barbuda,Americas,9106,9299,,,,146,149,,,
Senegal,Africa,89485,534,,,,1971,12,,,
Malawi,Africa,89168,466,,,,2686,14,,,
Kyrgyzstan,Europe,88953,1363,,,,1024,16,,,
C�te d'Ivoire,Africa,88434,335,,,,835,3,,,
Netherlands (Kingdom of the),Europe,8640008,49634,383,2,383,22986,132,,,
Saudi Arabia,Eastern Mediterranean,841469,2417,,,,9646,28,,,
American Samoa,Western Pacific,8359,15144,,,,34,62,,,
Azerbaijan,Europe,835757,8243,63,1,63,10353,102,,,
Suriname,Americas,82501,14064,,,,1406,240,,,
New Caledonia,Western Pacific,80163,28078,,,,314,110,,,
Tokelau,Western Pacific,80,5926,,,,0,,,,
Sierra Leone,Africa,7979,100,,,,125,2,,,
French Polynesia,Western Pacific,79387,28261,47,17,47,650,231,,,
Liberia,Africa,7930,157,,,,294,6,,,
Chad,Africa,7702,47,,,,194,1,,,
Iran (Islamic Republic of),Eastern Mediterranean,7627863,9082,,,,146837,175,,,
Mexico,Americas,7619458,5910,340,,340,334551,259,,,
British Virgin Islands,Americas,7557,24993,,,,64,212,,,
Eswatini,Africa,75356,6495,,,,1427,123,,,
Guyana,Americas,74443,9464,4,1,4,1302,166,,,
Paraguay,Americas,735759,10316,,,,19880,279,,,
Cook Islands,Western Pacific,7345,41818,1,6,1,2,11,,,
Belize,Americas,71414,17960,,,,688,173,,,
International conveyance (Diamond Princess),Other,712,,,,,13,,,,
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,703228,13785,,,,5708,112,,,
Global,,7.75867542E8,4798837.0,47169.0,501.0,47169.0,7057145.0,29394.0,815.0,,815.0
Bahrain,Eastern Mediterranean,696614,40939,,,,1536,90,,,
Cyprus,Europe,696410,78424,,,,1451,163,,,
Fiji,Western Pacific,69047,7702,,,,885,99,,,
Madagascar,Africa,68567,248,,,,1428,5,,,
Indonesia,South-East Asia,6829399,2497,46,,46,162059,59,,,
